,AccountID,AccountType,Industry,BusinessType,Country,Internal_External,f_parent
970,0012e000003A6NnAAK,Business Organization,Services,University,India,External,0
971,0012e000003A6NpAAK,Business Organization,Technology: IT & Telephone Services,SME (small to medium enterprise),Australia,External,0
972,0012e000003A6NqAAK,Business Organization,Technology: IT & Telephone Services,SME (small to medium enterprise),Australia,External,0
973,0012e000003A6NsAAK,Business Organization,Construction & Construction Materials,Multinational / Other Large Corporate,Australia,External,0
974,0012e000003A6NuAAK,Business Organization,Technology: IT & Telephone Services,SME (small to medium enterprise),Australia,External,0
975,0012e000003A6NvAAK,Business Organization,Technology: IT & Telephone Services,Large Australian Corporate,Australia,External,0
976,0012e000003A6NwAAK,Business Organization,Services,Multinational / Other Large Corporate,Italy,External,0
977,0012e000003A6NxAAK,Business Organization,Technology: IT & Telephone Services,SME (small to medium enterprise),Australia,External,0
978,0012e000003A6NyAAK,Business Organization,Health,Not for profit,Italy,External,0
979,0012e000003A6O2AAK,Business Organization,Mining & Refining,Multinational / Other Large Corporate,China,External,0
980,0012e000003A6O3AAK,Business Organization,Services,University,Iran,External,0
981,0012e000003A6O4AAK,Business Organization,Technology: IT & Telephone Services,SME (small to medium enterprise),Sweden,External,0
982,0012e000003A6O5AAK,Business Organization,Technology: IT & Telephone Services,SME (small to medium enterprise),Australia,External,0
983,0012e000003A6O6AAK,Business Organization,Technology: IT & Telephone Services,Large Australian Corporate,Australia,External,0
984,0012e000003A6O8AAK,Business Organization,Technology: IT & Telephone Services,Large Australian Corporate,Australia,External,0
985,0012e000003A6O9AAK,Business Organization,Technology: IT & Telephone Services,SME (small to medium enterprise),Australia,External,0
986,0012e000003A6OAAA0,Business Organization,Services,Large Australian Corporate,Australia,External,1
987,0012e000003A6OBAA0,Business Organization,Services,SME (small to medium enterprise),Italy,External,0
988,0012e000003A6OEAA0,Business Organization,Mining Equipment and Technology Services,SME (small to medium enterprise),Australia,External,0
989,0012e000003A6OFAA0,Business Organization,Health,Not for profit,Australia,External,0
990,0012e000003A6OGAA0,Business Organization,Technology: IT & Telephone Services,Not for profit,Australia,External,0
991,0012e000003A6OHAA0,Business Organization,Technology: IT & Telephone Services,Multinational / Other Large Corporate,China,External,0
992,0012e000003A6OIAA0,Business Organization,Technology: IT & Telephone Services,Multinational / Other Large Corporate,Australia,External,0
993,0012e000003A6OKAA0,Business Organization,Technology: IT & Telephone Services,Multinational / Other Large Corporate,India,External,1
994,0012e000003A6OOAA0,Business Organization,Technology: IT & Telephone Services,SME (small to medium enterprise),Australia,External,0
995,0012e000003A6OPAA0,Business Organization,Technology: IT & Telephone Services,Multinational / Other Large Corporate,Australia,External,0
996,0012e000003A6OQAA0,Business Organization,Technology: IT & Telephone Services,SME (small to medium enterprise),Australia,External,0
997,0012e000003A6ORAA0,Business Organization,Manufacturing & R&D,Multinational / Other Large Corporate,Australia,External,0
998,0012e000003A6OSAA0,Business Organization,Technology: IT & Telephone Services,SME (small to medium enterprise),Australia,External,0
