id,emails,calls,meetings,tasks,events,other,total_contacts,first_contact,first_month,three_month
0062e000002HGflAAG,6,0,0,0,0,0,6,37,0,4
0062e000002HGfmAAG,6,0,0,0,0,0,6,119,0,0
0062e000002HGfoAAG,3,0,0,0,0,0,3,498,0,0
0062e000002HGfpAAG,10,0,0,0,0,0,10,100,0,0
0062e000002HGfRAAW,1,0,0,0,0,0,1,321,0,0
0062e000002HGfxAAG,2,0,0,0,0,0,2,379,0,0
0062e000002HGfzAAG,1,0,0,0,0,0,1,379,0,0
0062e000002HGH1AAO,1,0,0,0,0,0,1,277,0,0
0062e000002HGhdAAG,3,0,0,0,0,0,3,0,2,3
0062e000002HGhmAAG,1,0,0,0,0,0,1,182,0,0
0062e000002HGhrAAG,3,0,0,0,0,0,3,-20,3,3
0062e000002HGhtAAG,1,0,0,0,0,0,1,155,0,0
0062e000002HGigAAG,2,0,0,0,0,0,2,142,0,0
0062e000002HGihAAG,4,0,0,0,0,0,4,196,0,0
0062e000002HGijAAG,3,0,0,0,0,0,3,78,0,1
0062e000002HGikAAG,1,0,0,0,0,0,1,205,0,0
0062e000002HGJaAAO,4,0,0,0,0,0,4,4,4,4
0062e000002HGJeAAO,1,0,0,0,0,0,1,4,1,1
0062e000002HGJhAAO,1,0,0,0,0,0,1,8,1,1
0062e000002HGjHAAW,1,0,0,0,0,0,1,455,0,0
0062e000002HGJLAA4,2,0,0,0,0,0,2,1,2,2
0062e000002HGJoAAO,1,0,0,0,0,0,1,4,1,1
0062e000002HGjPAAW,1,0,0,0,0,0,1,828,0,0
0062e000002HGJrAAO,5,0,0,0,0,0,5,0,5,5
0062e000002HGK3AAO,2,0,0,0,0,0,2,4,2,2
0062e000002HGKoAAO,2,0,0,0,0,0,2,0,2,2
0062e000002HGKPAA4,1,0,0,0,0,0,1,229,0,0
0062e000002HGKZAA4,1,0,0,0,0,0,1,80,0,1
0062e000002HGMGAA4,1,0,0,0,0,0,1,104,0,0
0062e000002HGNaAAO,1,0,0,0,0,0,1,359,0,0
0062e000002HGNtAAO,1,0,0,0,0,0,1,40,0,1
0062e000002HGObAAO,1,0,0,0,0,0,1,204,0,0
0062e000002HGOcAAO,2,0,0,0,0,0,2,207,0,0
0062e000002HGogAAG,1,0,0,0,0,0,1,957,0,0
0062e000002HGOhAAO,3,0,0,0,0,0,3,86,0,1
0062e000002HGOiAAO,1,0,0,0,0,0,1,191,0,0
0062e000002HGOjAAO,4,0,0,0,0,0,4,34,0,3
0062e000002HGOlAAO,4,0,0,0,0,0,4,98,0,0
0062e000002HGOmAAO,2,0,0,0,0,0,2,281,0,0
0062e000002HGoQAAW,1,0,0,0,0,0,1,338,0,0
0062e000002HGpcAAG,8,0,0,0,0,0,8,0,8,8
0062e000002HGPhAAO,1,0,0,0,0,0,1,4,1,1
0062e000002HGPnAAO,1,0,0,0,0,0,1,4,1,1
0062e000002HGpPAAW,1,0,0,0,0,0,1,0,1,1
0062e000002HGpqAAG,1,0,0,0,0,0,1,449,0,0
0062e000002HGPxAAO,4,0,0,0,0,0,4,1,1,4
0062e000002HGpXAAW,2,0,0,0,0,0,2,525,0,0
0062e000002HGQ7AAO,8,0,0,0,0,0,8,0,8,8
0062e000002HGqMAAW,1,0,0,0,0,0,1,189,0,0
0062e000002HGr6AAG,24,0,0,0,0,0,24,51,0,11
0062e000002HGrnAAG,7,0,0,0,0,0,7,324,0,0
0062e000002HGrSAAW,50,0,0,0,0,0,50,8,6,44
0062e000002HGs0AAG,84,0,0,0,0,0,84,-6,84,84
